6239.M117.2.1	P41932
6239.C36B1.8b	Q8I4M5
6239.DH11.1.1	Q19013
6239.F30F8.2	Q93650
6239.Y45F10D.3a	O45947
6239.Y75B8A.9a	Q7K755
6239.F25F8.2	Q17328
6239.F11A5.10	G5EBR3
6239.C55B7.2	Q9NDH7
6239.C05D11.11b.1	P50432
6239.C53B4.7b	Q18801
6239.F56H6.5	O45583
6239.C42C1.5	A3QMC8
6239.F32D1.5.1	O16294
6239.B0024.12	Q17427
6239.C26C6.2.2	P51875
6239.K01C8.9.2	Q21086
6239.T03F6.3	Q9XVJ2
6239.H13N06.3a	Q9XTQ5
6239.T24B1.1	P90970
6239.F25H8.3b	Q19791
6239.C34E10.3	P46578
6239.F08F8.8	Q95ZW1
6239.B0272.2	P41941
6239.F41C3.4	Q20263
6239.C55H1.2	Q9BIG4
6239.C16A11.1b	O76584
6239.F18G5.3	Q19572
6239.F18E2.5b	Q9XTB2
6239.B0207.3b	Q9BIG2
6239.M04C7.1.2	P91907
6239.Y95B8A.5.1	Q9N2V6
6239.C34D1.3	Q18434
6239.T19C4.6a	P28051
6239.F38E1.5	P22454
6239.E02C12.5	P28052
6239.T07A9.7	Q9BIG5
6239.F53B1.7	Q20701
6239.F48C11.1	Q93743
6239.R10H10.5	Q21917
6239.F56H9.3	Q20907
6239.F56H9.4a	Q20910
6239.ZK1320.7	Q09655
6239.T05H10.7a	Q10003
6239.K10B3.6d.2	Q21407
6239.K11H3.1b	P34517
6239.T25G3.4.2	P90795
6239.T05E11.6	P49048
6239.F57B10.3a	G5EFZ1
6239.C34E10.2.2	P46577
6239.F22B7.13	Q95QJ7
6239.C38C10.4	Q03569
6239.R07E5.1	Q21827
6239.F26E4.12	O02621
6239.R05H10.5	O62327
6239.C11E4.2	Q95003
6239.F19C6.1	Q09537
6239.W02B3.2	Q09639
6239.ZC506.4a	Q09630
6239.K06H7.4.1	P34512
6239.C34C12.8.1	Q18421
6239.C04A2.1.1	Q09445
6239.Y39B6A.33.2	Q9NEU5
6239.F37B12.2.2	Q20117
6239.ZK637.10.1	P30635
6239.Y18D10A.5.2	Q9U2Q9
6239.F14E5.2a.1	Q19459
6239.K08F4.6	O16115
6239.R07B1.4	Q09607
6239.K08F4.11	O16116
6239.K08F4.7	Q21355
6239.R03D7.6a	Q09596
6239.F11G11.3	P91252
6239.F11G11.2	P91253
6239.F11G11.1	P91254
6239.R05F9.5	Q21743
6239.ZK1320.1	Q09652
6239.D2024.7.1	Q18973
6239.C29E4.7	P34345
6239.C02D5.3	P34277
6239.R107.7.2	P10299
6239.Y45G12C.2	Q9N4X8
6239.M106.4b	Q09580
6239.ZK1236.1	P34617
6239.F56B6.4a.1	H2KYQ5
6239.Y46G5A.31	Q9U2D9
6239.M163.3	P10771
6239.Y73B6BL.9a	P15796
6239.F22F1.1	Q19743
6239.C18G1.5	O17536
6239.B0414.3	O01833
6239.F59A7.4	O16277
6239.C30G7.1	Q18336
6239.R08C7.3.1	Q27511
6239.ZK131.6	P09588
6239.ZK131.9	P04255
6239.T10C6.11	Q27894
6239.C50F4.5	Q27484
6239.H02I12.6	Q27876
6239.F45E1.6.2	Q10453
6239.F45E1.6.2	Q9U281
6239.E03A3.4	Q27490
6239.W05B10.1	Q27532
6239.E03A3.3	Q27489
6239.ZK131.7	P08898
6239.ZK131.8	P62784
6239.T15B7.2.1	O17040
6239.C16C10.11.2	Q09254
6239.F13D11.2a	Q9XYD3
6239.F54C8.1	P34439
6239.B0272.3.2	P41938
6239.F54C8.2	P34440
6239.F58A4.3	P34470
6239.C53A5.3.2	O17695
6239.C08B11.2	Q09440
6239.C10E2.3a	O17323
6239.F41H10.6c	Q20296
6239.ZK430.1	Q23495
6239.R148.6.1	O17271
6239.ZK287.8a	P34704
6239.T14F9.3.1	Q22492
6239.W06D4.1	Q9Y041
6239.F38A6.3b	G5EGD2
6239.ZK1127.11	Q23405
6239.F21C3.3	P53795
6239.F20B6.8b	Q8MQ70
6239.K10D2.1a	Q09589
6239.R09H10.3a	Q21882
6239.ZK697.8	O44578
6239.T28F3.3	Q9XUC4
6239.H13N06.5	Q9XTQ7
6239.F58A4.7b.3	P34474
6239.F48D6.3	Q20561
6239.C17C3.8	Q18053
6239.T01D3.2	P90953
6239.T05G5.2	P34555
6239.T15H9.3	Q10007
6239.F16H11.4.1	P53547
6239.C27A12.5	G5ECT8
6239.C16C2.1	P20269
6239.K02B12.1	P20268
6239.C34C6.8	P20270
6239.ZK265.4	Q94398
6239.Y65B4BR.9	P56407
6239.W03A3.1	P41935
6239.F33D11.4	P17487
6239.R13A5.5	P17488
6239.F46C8.5	P20271
6239.C13G5.1.2	P34326
6239.ZC64.3a	P41934
6239.F20D12.6b	P26797
6239.F31E3.1.1	P41779
6239.T26C11.6	Q22811
6239.F29F11.5a	P41936
6239.ZK652.5	P34663
6239.F55B12.1	Q9NLC2
6239.K12H4.1	P34522
6239.C33D12.7	Q22909
6239.C33D12.1	Q22910
6239.W05E10.3.2	Q23175
6239.C10G8.7	Q94166
6239.C10G8.6	Q94165
6239.C37E2.4	Q93352
6239.C37E2.5	Q93356
6239.F22D3.1b	Q19720
6239.T26C11.7	Q22812
6239.F17A2.5	Q19503
6239.C28A5.4	Q18273
6239.F25B4.6	P54871
6239.F47D12.4a.2	Q09390
6239.R13H4.4b	P90947
6239.K05C4.6b	O44326
6239.W02B9.1b	Q967F4
6239.ZK546.1b.1	Q23529
6239.C18E3.8	O02100
6239.Y38F1A.6.6	Q9U2M4
6239.T21C12.2	Q22633
6239.F55A11.3.1	Q20798
6239.F26E4.11	P90859
6239.R02E12.6.3	Q21642
6239.F36H1.5a	Q20106
6239.F36H1.9	Q7YTM8
6239.F36H1.10a	Q7YTM7
6239.C14B9.1	P34328
6239.T27E4.8	P34696
6239.Y46H3A.3	P06582
6239.Y46H3A.2	P06581
6239.T27E4.9	P02513
6239.F26D10.3.2	P09446
6239.C15H9.6.2	P27420
6239.F43E2.8.1	P20163
6239.C37H5.8	P11141
6239.C47E8.5.4	Q18688
6239.C34F6.4	O17645
6239.T10H10.1	P91443
6239.F47B10.2	Q20502
6239.Y51H4A.7.1	Q9NAE2
6239.C05D11.5	Q11185
6239.C09G4.1.1	G5ED45
6239.K02G10.6	Q7Z139
6239.C09B8.1	Q17848
6239.C50C3.7	P34370
6239.F46F3.4a	Q9XVN3
6239.F43G9.1.2	Q93714
6239.C37E2.1.1	Q93353
6239.K04G2.1.3	Q21230
6239.F57B9.6a.2	P27639
6239.F53A2.6a	O45551
6239.R04A9.4	Q21693
6239.B0348.6b.1	O61955
6239.C05D9.5	Q22888
6239.Y57A10A.30.1	P56570
6239.T05G5.10a	P34563
6239.F54C9.1.3	Q20751
6239.C37C3.2a.3	Q22918
6239.C47B2.5.2	O62106
6239.F38B2.1d	P90901
6239.W10G6.3.2	O02365
6239.F52E10.5	Q21065
6239.K05B2.3.2	P90900
6239.F10C1.2b	Q19289
6239.F10C1.7a.1	Q19286
6239.F37B4.2.1	O45168
6239.M6.1b	Q21067
6239.R04E5.10a	Q86DC6
6239.F25E2.4	Q19782
6239.F56F3.1	Q20898
6239.C43C3.1	Q09501
6239.T28F3.6	Q9XUC2
6239.C27H5.7a	Q95QT8
6239.R107.4b.1	P32742
6239.M04D8.1	Q21507
6239.M04D8.2	Q21508
6239.M04D8.3	Q21506
6239.ZK75.1	Q09626
6239.ZK75.2	Q09627
6239.ZK75.3	Q09628
6239.ZK1251.2	Q23430
6239.ZK84.6	P56174
6239.ZK84.3	P56173
6239.C17C3.4	Q18060
6239.T26C12.1.1	O61856
6239.T19B10.7.1	Q22560
6239.F26B1.3.2	P91276
6239.F32E10.4.1	Q19969
6239.T22D1.3a.2	Q9GZH3
6239.T05E11.5	P49049
6239.F13G3.5a	Q19420
6239.Y52B11A.2a	Q9XWF4
6239.F54G8.3.1	Q03600
6239.Y55D5A.5a	Q968Y9
6239.T18H9.5a	Q22549
6239.W04D2.3b	Q23157
6239.ZK770.3.1	O01634
6239.F07A5.1b	O62136
6239.R12E2.5	O61787
6239.R12E2.4a.2	O61788
6239.T16H5.1a	O61715
6239.F08G12.10	Q9U3K5
6239.F22F4.2.2	Q19746
6239.R09F10.4	Q23027
6239.C36H8.2	Q9U3N4
6239.K02B2.4	Q21123
6239.ZK792.2.3	Q23593
6239.C47E12.4b.1	Q18680
6239.C41C4.4a	Q09499
6239.R03E9.4	P52192
6239.C36F7.1	Q93348
6239.F37A4.8	P41877
6239.C05D9.3	Q9GYK2
6239.ZC395.7	Q9GYG4
6239.F33D4.2a	Q9Y0A1
6239.C02D5.1	P34275
6239.F13B12.1.2	Q19375
6239.Y105C5B.21a	Q9U308
6239.K05C4.2.2	Q9XUU9
6239.T26A5.5a.1	Q95Q98
6239.ZK1098.10e	P34609
6239.F29B9.4a.1	Q9GYI4
6239.B0478.1a	Q8WQG9
6239.T24H10.7a	G5ECU7
6239.F38B2.4a	Q20140
6239.C29E4.8.1	P34346
6239.E02H1.6.1	Q09527
6239.ZK673.2.2	Q09629
6239.ZK909.2c	P21137
6239.F47F2.1b	Q7JP68
6239.R07E4.6c	P30625
6239.F46H5.3a.2	Q10454
6239.ZC434.8.2	Q27535
6239.F26H11.1	O45406
6239.F52A8.6a	Q19143
6239.C03C10.1.1	P42168
6239.Y106G6E.6.2	Q8WQ99
6239.K02A2.3	Q09573
6239.R07A4.1	G5EFC3
6239.C03F11.1	Q11122
6239.ZK1321.2c	Q8I4B0
6239.C29F7.3	O17622
6239.F40F8.1.3	Q20230
6239.Y48B6A.11	Q9U297
6239.ZK593.4	Q23541
6239.F29B9.2a	Q9GYI0
6239.T16H12.6	P34569
6239.K12F2.2a	Q21441
6239.M176.6a	P34891
6239.M176.7.2	P34892
6239.F46F2.2c.2	Q20471
6239.F58H12.1	Q21017
6239.B0523.1	P34265
6239.R05D3.7	P34540
6239.C18C4.10b.4	P46822
6239.C29E4.2.1	P34341
6239.W02G9.2.1	G5ED84
6239.T09A5.2a	P45962
6239.R07B7.5	Q21795
6239.C02F5.1	P34278
6239.C14B9.8.2	P34335
6239.F57F5.5a.2	P34885
6239.B0545.1a	P34722
6239.E01H11.1c	P90980
6239.F09E5.1.2	Q19266
6239.Y73B6A.5a.2	Q07292
6239.T01H8.1e	Q21734
6239.C54G4.1a	Q18846
6239.R53.2	Q22018
6239.T01G9.5b.1	P34808
6239.F10C2.2	P34705
6239.C15H9.7.1	Q18026
6239.Y45G12B.3.2	Q9N4Z0
6239.Y43H11AL.2	Q95XZ6
6239.Y53F4B.39b	Q95Q18
6239.ZK945.1.2	Q09621
6239.Y73C8B.4	P45442
6239.C32A3.1a	Q09260
6239.Y6B3B.10	Q9XWE9
6239.C54D1.5.1	Q18823
6239.F26D11.11b	O61967
6239.R144.7b	D5MCN2
6239.C09D8.1d	Q9BMN8
6239.F42H10.3	P34416
6239.B0285.4	P46554
6239.F13D12.2.2	Q27888
6239.F26F12.7	G5EBZ4
6239.C05D11.4	Q11184
6239.C56G2.6b	Q09517
6239.W09H1.6b	P36573
6239.ZK892.1d	Q09581
6239.R07B1.2.2	Q09605
6239.R07B1.10	Q09610
6239.W01G7.5	Q9XTB5
6239.B0035.11.1	Q17431
6239.ZK1067.1c	P24348
6239.C44H4.2	Q93373
6239.ZK792.6	P22981
6239.K08E7.3	Q21341
6239.T07H6.5	Q22328
6239.F18G5.4	P54245
6239.T20B12.9	P41849
6239.K09C8.4	Q21389
6239.C32D5.9.1	Q09490
6239.ZK593.6a	Q23536
6239.ZK678.1	Q27365
6239.ZK662.4.1	Q27395
6239.M01F1.3.3	Q21452
6239.C09H6.2a	O17583
6239.ZC247.3	P20154
6239.R107.8	P14585
6239.C03B8.4	Q11107
6239.T25C12.1a	Q21446
6239.K10B2.1	Q09990
6239.F56H9.5	Q10573
6239.F18A1.2.2	Q27355
6239.F02E9.2a	P92186
6239.F17E5.1a	P54936
6239.K10G6.1	P34683
6239.T14F9.5	Q10574
6239.F44B9.6	P34427
6239.C07H6.7.1	P34684
6239.C12C8.3a.1	Q9U489
6239.E01A2.3a	Q27886
6239.F42A9.2.1	Q20318
6239.ZK632.13a	Q10120
6239.K07A1.12.2	P90916
6239.JC8.6a	Q95QD7
6239.ZK673.3	Q09377
6239.T12F5.4	O44757
6239.T09A5.10.2	P45970
6239.R06C7.7b	B2D6M2
6239.ZK637.7b.2	P30630
6239.ZK262.3	Q9XTR8
6239.F59F5.6	Q21049
6239.T21H8.1b.2	Q94071
6239.T03F6.5	Q9NDC9
6239.C14F11.3	Q17990
6239.C47G2.4	Q18695
6239.Y43F4A.1a	O62446
6239.DY3.2.2	Q21443
6239.C03B1.12.1	Q11117
6239.C05E11.1.2	Q17667
6239.F48E8.1a.1	Q09566
6239.ZK836.1	Q23628
6239.C34B2.6.1	O44952
6239.Y75B8A.4.2	Q9XW87
6239.B0457.1a	G5EDW2
6239.B0286.2a	G5ECX0
6239.T27C10.6	Q9TZM3
6239.F29D11.1	Q04833
6239.Y40B1B.6.2	Q9XWP6
6239.F32A5.7	Q19952
6239.R160.7	Q9TZD0
6239.Y37A1B.2b	Q8I4E2
6239.Y54E10A.11	Q65XX2
6239.Y97E10AR.7.3	Q9N2U6
6239.T23D8.3.1	O02327
6239.D1053.1	Q18938
6239.F35G12.6	Q20054
6239.Y53C12B.5a	O18214
6239.C08C3.3	P10038
6239.ZC13.4	Q95Q39
6239.C02H7.3a	O02626
6239.C52E4.5b	Q18788
6239.C33G3.4	Q93324
6239.T04C10.1	Q8WQL7
6239.F49E11.1b	Q9XTF3
6239.K02H8.1a	Q94250
6239.R155.1a.2	O01925
6239.F14F3.3	Q19468
6239.Y48G1A.6a	A0SQM0
6239.F02A9.4a	P34385
6239.C03D6.3a	Q17607
6239.C25A1.3.1	Q9XVS1
6239.R10E4.4.2	Q21902
6239.ZK632.1a	P34647
6239.F20H11.3.1	O02640
6239.F16F9.5	P34886
6239.F14D12.4a	Q27433
6239.F01D4.6a	P09088
6239.T01C8.7.2	P24612
6239.W02D3.3	O01811
6239.W09H1.5	O45903
6239.Y48A6B.9a	Q9XXC8
6239.T09A5.6.1	P45966
6239.R144.9	Q9BI74
6239.F47A4.2	Q20497
6239.K08F8.6	Q93442
6239.C38C10.5c	Q03570
6239.R12B2.5a.1	Q21955
6239.Y113G7B.18b.1	Q9NAL4
6239.C55B7.9.1	Q966M5
6239.Y71H2B.6	Q9N4F2
6239.T23C6.1.1	O02042
6239.Y71F9B.10a.1	Q9N4G4
6239.Y104H12D.1	Q9N5A1
6239.C24H11.9	Q6BER6
6239.ZK970.3	Q23679
6239.F39B2.4b	Q10669
6239.K08E3.8.2	Q9XUS2
6239.F32H2.2	P91869
6239.ZK546.13	Q23523
6239.Y57E12AL.5	Q9N337
6239.Y54E5B.3a	Q95Q17
6239.Y62F5A.1a	Q9U1W2
6239.F57B10.12	O44740
6239.Y54E10BL.6	Q10664
6239.ZK858.4	Q94420
6239.EEED8.1.2	Q09293
6239.W03G1.6a	U4PR86
6239.K10B4.3	O17237
6239.M04B2.1	Q21502
6239.R06A4.7	O17514
6239.F54C1.3a	Q10665
6239.Y2H9A.1.2	Q9NH52
6239.C09G4.5	Q9GYS1
6239.ZK1128.2a	Q09357
6239.C37A2.6	O01503
6239.R05D3.11	P34544
6239.R03D7.1	Q09582
6239.C49F5.1.2	O17680
6239.C06E7.1a.1	P50305
6239.C06E7.3a	P50306
6239.T13A10.11a.1	Q27522
6239.W02A2.7.2	Q9XUB2
6239.AH6.5.2	Q09436
6239.K11B4.2	O45685
6239.W02B12.9.2	Q23125
6239.B0416.6	Q11068
6239.R09B3.5.1	P49029
6239.F54A3.5.2	Q9N4K0
6239.Y67H2A.4a	Q95PZ2
6239.C52E4.2c	Q18785
6239.F13G3.9	P90835
6239.F10E9.6c	P34400
6239.ZC504.4c	Q23356
6239.F57B7.4	Q20930
6239.F01F1.13	G1FC92
6239.R07E4.4	Q21815
6239.K08F11.5.2	Q94263
6239.M106.1	Q09591
6239.F42G10.2	Q20347
6239.T12D8.6.2	Q9XVI9
6239.F09F7.2a.1	P53014
6239.C36E6.3	P19625
6239.C36E6.5.2	P19626
6239.C56G7.1.1	Q09510
6239.ZK430.8	Q23490
6239.T02G5.13a.2	Q22111
6239.ZK546.17.1	Q7Z144
6239.F13D12.4a.2	P52713
6239.B0285.7	P46557
6239.T27C10.3	Q9TZM2
6239.Y53C12A.4.1	O18211
6239.K10D2.7	Q09412
6239.R03A10.3	Q21657
6239.F49E2.1b	Q20624
6239.F42G8.6	O44510
6239.K03H1.2	P34498
6239.EEED8.5	Q09530
6239.F13H10.4a.2	Q19426
6239.F38E1.7	Q10459
6239.F52F12.3.2	Q9XTC6
6239.F11A10.4b	Q19338
6239.R11A8.2	Q21924
6239.R07E5.13.1	Q21828
6239.F53F10.3.1	O01578
6239.F01G4.6b.2	P40614
6239.K06A5.7.2	O44552
6239.F16B4.8	O44628
6239.ZK637.11.2	P30634
6239.ZK632.4	P34650
6239.B0511.13a	Q95X35
6239.F09G8.9	P34394
6239.F38E1.9.2	Q20157
6239.T18D3.9	Q7YWV6
6239.K08B12.5.2	O01583
6239.ZC302.1.2	Q23255
6239.F45G2.9	O62251
6239.ZK546.6	Q23519
6239.F09E8.3	Q19272
6239.ZK1251.6	P05634
6239.ZK354.5	P53017
6239.K04D7.2a.2	P54815
6239.R05F9.3	P53018
6239.R05F9.8	P53019
6239.K08F4.8	P53020
6239.F26G1.7	Q19832
6239.C34F11.6	Q18461
6239.R13H9.2	Q17856
6239.K05F1.7	Q21244
6239.T13F2.10	Q9TVW5
6239.T13F2.11	Q94053
6239.Y62E10A.11b.3	Q9U1X4
6239.K11G9.6	P17511
6239.C42C1.13b	A7IQW5
6239.T08G5.10	P17512
6239.B0228.7.2	Q09438
6239.T13C5.8.1	Q8T3C8
6239.Y106G6E.4	Q9XWE6
6239.C06A8.1a.2	Q17693
6239.T24A11.1a	Q22712
6239.C01G10.9	Q93169
6239.ZC373.5	Q23261
6239.T01D1.4	P91416
6239.K07E1.1	Q09407
6239.Y53F4B.13	Q9NAA5
6239.W08D2.7	Q23223
6239.C01G6.6a.2	Q17574
6239.PAR2.1.2	P34496
6239.B0035.16.1	Q17440
6239.F39B2.11	O45503
6239.ZC97.1a	P34599
6239.K08E5.3a	P34576
6239.K07D8.1	Q21281
6239.ZK1098.8	P34607
6239.ZK1058.1.1	Q23381
6239.R06C7.10.1	P02567
6239.T18D3.4	P12845
6239.K12F2.1	P12844
6239.F11C3.3.2	P02566
6239.B0304.1b	P22980
6239.F07A5.7a.3	P10567
6239.R13F6.10	Q21986
6239.Y65B4BR.5b.1	Q86S66
6239.F31F6.6	Q93655
6239.R107.1.1	P32739
6239.K08E5.2a	Q21339
6239.F59B2.3.1	P34480
6239.Y54H5A.4.1	Q9N392
6239.K09C8.3a	Q21388
6239.K11G12.1a	Q21432
6239.C24F3.3	Q9XTD6
6239.F39D8.4	Q20191
6239.F09E8.6	Q19269
6239.T04G9.2.1	P55115
6239.K03B8.1	Q21180
6239.K03B8.2	Q21178
6239.K03B8.3	Q21179
6239.K03B8.5	Q21181
6239.F45G2.1	O62243
6239.T11F9.3	Q22396
6239.T11F9.5	Q22401
6239.T11F9.6	Q22398
6239.R10H1.5	Q7Z0M7
6239.F20G2.4	Q93542
6239.F46C5.3	Q20459
6239.T24A11.3.2	Q22710
6239.T23F4.4	O17264
6239.F42A10.8	P98061
6239.F58A6.4	Q20958
6239.F56A4.1	Q9N5R0
6239.Y95B8A.1	Q9N2V2
6239.F58B4.1b	Q7JLI1
6239.T02B11.7	O16977
6239.K04E7.3	P55114
6239.F40E10.1	Q21059
6239.R151.5a	P98060
6239.C26C6.3	Q18206
6239.C17G1.6a	Q93243
6239.F57C12.1	Q20942
6239.F38E9.2	Q20176
6239.K06A4.1	Q21252
6239.C05D11.6b	P55112
6239.T23H4.3	P91828
6239.4R79.1a	Q9U3S9
6239.C07D10.4	P55113
6239.C34D4.9	Q18439
6239.C37H5.9b	P91137
6239.F55A12.8	O01757
6239.Y67D2.5	Q9BKR0
6239.F10F2.1	Q19317
6239.F37E3.1	O01763
6239.F26A3.2a	Q93594
6239.ZK112.2	P34611
6239.C14B9.6b	P34333
6239.C44C1.3	P36608
6239.F10G8.5.2	P36609
6239.C07A9.4	P34315
6239.C07A9.11	P34322
6239.B0240.4.2	Q8I4N3
6239.W01B6.9.1	Q17635
6239.C34E10.7	P46581
6239.F08B4.6	Q966W3
6239.C33A12.1	Q18359
6239.Y94H6A.8.1	Q9N2W7
6239.F44G4.2.1	Q20412
6239.D2030.4.2	P90789
6239.ZK1128.1.2	Q09644
6239.K09A9.5	Q93873
6239.F22D6.4.2	Q19724
6239.W10D5.2.1	Q94360
6239.T20H4.5	Q22619
6239.F53F4.10.2	Q20719
6239.T26E3.2	O45830
6239.W02G9.1	O61902
6239.Y38A8.1	Q23236
6239.EEED8.8	Q09297
6239.C43E11.7.2	P91148
6239.Y87G2A.14	Q9NA25
6239.F45H11.2	Q93725
6239.ZC581.1	O01775
6239.F19H6.1.1	G5EFM9
6239.D1044.8	P84199
6239.Y39A1A.14.1	Q9XX15
6239.ZK20.6.2	Q18673
6239.T05A8.4	O44857
6239.T19A6.3b	Q9XXN3
6239.H38K22.3	Q9XXA7
6239.Y56A3A.13.2	O76463
6239.C16A3.7	Q18034
6239.F56G4.5.1	Q9TW67
6239.C28D4.1.1	O17611
6239.F44C8.4.1	O16359
6239.T01G6.4	O16966
6239.F35E8.12	O45449
6239.F44G3.9	O45521
6239.T27B7.4a	O16662
6239.E02H9.8b.2	Q9TZ99
6239.R02D1.1	O17082
6239.T13F3.3	O18087
6239.T01G6.8.2	O16963
6239.F44C8.8	O16354
6239.F44C8.2.2	O16361
6239.C13C4.3	O01930
6239.C06B8.1	O17573
6239.C13C4.1	O01929
6239.C13C4.2	O01931
6239.C41G6.5	O17657
6239.C49F5.4	O17683
6239.C54C8.1	O17706
6239.E03H4.6	O17748
6239.K06B4.7	O17931
6239.K06B4.10	O17934
6239.T06C12.13	O18048
6239.T09E11.2	O02305
6239.T13F3.2a	O18086
6239.K06B4.6.2	O17930
6239.M28.5.1	Q21568
6239.F54G8.4	Q03601
6239.Y48A6B.3.1	Q9XXD4
6239.B0280.8.2	P41999
6239.ZC410.1a	Q23294
6239.R04B5.4b	Q21701
6239.Y5H2B.2b	Q9N4Q7
6239.T01B10.4a.2	O02151
6239.T12C9.6	Q27521
6239.F44C8.3	O16360
6239.E02H1.7	Q09528
6239.R09G11.2a.1	Q21878
6239.F43C1.4	Q09565
6239.K06A1.4.1	Q09587
6239.C01H6.5a	P41828
6239.F11C1.6a	Q19345
6239.C11G6.4a	Q17905
6239.C32F10.6	Q10902
6239.C26B2.3a	Q18192
6239.F58G6.5c	Q21006
6239.C07A12.3a	Q17771
6239.H01A20.1.1	Q9XTJ4
6239.T03G6.2c	Q22127
6239.Y104H12A.1	Q9N4B8
6239.C33G8.6	O76828
6239.T19A5.4	Q22555
6239.C24G6.4	Q17370
6239.ZK662.3b	Q94407
6239.K10C3.6c.2	O45666
6239.F32B6.1	O45436
6239.K06B4.1	O17927
6239.K06B4.2	O17928
6239.K06B4.11	O17933
6239.F36D3.2	O45460
6239.T01G6.7	O16962
6239.T05B4.2	O16425
6239.T27B7.1	Q9TXJ1
6239.Y73F8A.21	Q9NA51
6239.W01D2.2b.1	O62389
6239.Y67A6A.2a	O02279
6239.C45E1.1a	O44960
6239.Y17D7A.3a	O45907
6239.C08F8.8	Q9XVV3
6239.T23H4.2	P91829
6239.C48D5.1a	P41829
6239.K11E4.5b	Q9GTD4
6239.C49D10.6	O16604
6239.T15D6.6	O02316
6239.T26H2.9	O18141
6239.F54D1.4.1	Q20765
6239.W05B5.3a	Q9XUK7
6239.Y40B10A.8.1	Q965W2
6239.E03H4.13	O02235
6239.F33D4.1a	Q9XYB7
6239.ZK488.2	O17025
6239.Y15E3A.1a.2	Q9U2R6
6239.F44C8.11	Q95X91
6239.H27C11.1a	Q9BJK5
6239.M02H5.6	Q966I0
6239.ZK418.1	Q23489
6239.B0495.4	Q8T5S1
6239.C54F6.13a	O16452
6239.ZK822.3b.2	P35449
6239.ZC434.6b	Q23316
6239.W06F12.1a	Q9U9Y8
6239.ZK1320.10.2	Q09367
6239.C01C4.1	Q11088
6239.B0213.3	O44665
6239.B0213.4	O44664
6239.B0213.5	O44663
6239.B0213.6	O44662
6239.F30H5.2	Q09982
6239.T19C4.7	Q95ZN4
6239.B0464.3.2	Q03561
6239.ZK892.2	Q23655
6239.Y57A10C.6.1	G5EDP2
6239.F26H9.4	P91851
6239.T17E9.2b	P46548
6239.R107.2	P32740
6239.Y18D10A.3	Q9XW15
6239.T28F2.4a	O01658
6239.C07E3.2.1	O17580
6239.C37H5.5.2	P91136
6239.T07A9.9a.1	O44411
6239.K09B11.2a.1	Q9U3B6
6239.C25A1.6	Q9XVR8
6239.ZK265.6	Q94402
6239.F25B5.2.2	Q09314
6239.R05G6.4	Q21755
6239.Y43H11AL.3	Q95XZ5
6239.F02E8.6	Q19127
6239.F09G8.4	P34389
6239.M28.7	O17972
6239.F18A12.8a.1	O16796
6239.T16A9.4.1	Q22523
6239.F10G8.3.2	Q93454
6239.C25G6.5	Q18179
6239.T27D1.3	Q09638
6239.F35H10.7.1	Q20069
6239.F13H10.2a.1	Q19427
6239.T28F3.1a.2	Q9XUB9
6239.K11G12.4a.2	Q21434
6239.T01E8.5.2	G5EG51
6239.R04A9.2.1	Q21691
6239.F55B12.5.1	Q93796
6239.C08B11.4.1	Q09225
6239.H15N14.2a	Q94392
6239.T27F6.6.1	O45870
6239.C16C10.6.1	Q09252
6239.R06C7.6	Q21775
6239.T23G5.5	Q03614
6239.R05D11.3.1	Q21735
6239.R10E4.5d	P54137
6239.Y74C9A.3.1	Q9N4D9
6239.C33H5.14.2	Q18411
6239.C29E4.4	P34343
6239.MTCE.11	P24887
6239.MTCE.16	P24889
6239.F26H11.2a	Q6BER5
6239.MTCE.34	P24895
6239.MTCE.4	P24886
6239.MTCE.25	P24892
6239.MTCE.35	P24896
6239.MTCE.3	P24885
6239.F10G8.6	Q93459
6239.C07B5.5	Q17778
6239.C41D11.8.1	Q95NM6
6239.R12B2.4	Q21952
6239.T03D8.1d	Q9XTY6
6239.R06F6.5b.1	Q09601
6239.ZK328.5b	G5EEH9
6239.C15H11.3a	Q9XVS7
6239.C15H11.6.1	Q9XVS8
6239.Y71F9AM.5a	Q9U757
6239.F01E11.5c	Q19084
6239.C16A3.10a.1	Q18040
6239.ZK484.1a	Q9NHZ6
6239.F52F12.1a	Q9U539
6239.ZK669.4.1	Q23571
6239.Y39E4A.3b	O45924
6239.B0280.4	P41995
6239.T22B11.5.1	O61199
6239.F23B12.5.2	Q19749
6239.T05H10.6b	P52899
6239.C04C3.3.2	O44451
6239.C53B7.5	Q18807
6239.Y102E9.1b	Q8I7F8
6239.T18D3.2	P41933
6239.C15C7.7	Q18014
6239.K10G9.3b	Q8WR51
6239.K04G7.3a	O18158
6239.W08E3.3a	P91917
6239.C09F5.2a	Q09232
6239.F59E10.1.2	Q21037
6239.C08B6.8a	Q17819
6239.C01G10.10	Q93170
6239.T27B1.1	Q22830
6239.M02B7.3b	P46873
6239.R07G3.6	Q09423
6239.ZK686.3.2	P34669
6239.T09A5.11.3	P45971
6239.C01B12.4	O17204
6239.C18A3.4a.1	Q18071
6239.W01D2.5.1	Q9XU63
6239.C25D7.8.2	Q9XVR6
6239.Y69A2AR.5	Q95XG9
6239.C47A10.5a	O45307
6239.F18E3.7a.2	Q19564
6239.F20H11.5	O01739
6239.Y47D3B.10	Q10576
6239.F35G2.4.1	Q20065
6239.F55G1.9	Q20848
