511145.b3549	P05100
511145.b1514	A0A085NXE3
511145.b4295	A0A024L794
511145.b1388	A0A037YEZ0
511145.b3219	A0A024L9Y6
511145.b2848	C3SCB8
511145.b1932	C3T4Y2
511145.b1394	A0A024L382
511145.b2041	J3S130
511145.b4666	A0A090H3N8
511145.b4678	A0A090H1I1
511145.b1121	A0A0B1K3U6
511145.b1554	A0A024L2J6
511145.b4225	A0A024L8M5
511145.b1148	A0A0A6R8J3
511145.b2623	A0A090H3B7
511145.b4548	A0A090H2V3
511145.b4702	A0A090HVE5
511145.b1001	A0A0B1BCP1
511145.b4674	A0A090HS07
511145.b4066	A0A0A3SZB8
511145.b1145	A0A0A2R571
511145.b0280	A0A090HK60
511145.b3618	A0A024LCG2
511145.b1370	A0A075MBE5
511145.b2716	C3SXU2
511145.b4066	C3SHB8
511145.b0644	C3TJE2
511145.b2349	C3T1L7
511145.b1511	C3T9Z2
511145.b1148	A0A024L4V1
511145.b2107	C3SCK5
511145.b1962	C3T4K7
511145.b0648	C3TJC2
511145.b2040	A6M9B0
511145.b4340	C3SBW5
511145.b1514	C3T9Y2
511145.b1391	A0A024L3W5
511145.b0234	C3TNX2
511145.b1513	C3SDJ1
511145.b4215	C3SBY1
511145.b2335	A0A090H0P9
511145.b4224	C3SFE7
511145.b4021	A6MEV7
511145.b2041	J3S110
511145.b0603	A0A024L5P3
511145.b2849	C3SW92
511145.b2852	C3SCB6
511145.b1268	C3TC93
511145.b2041	J9XUK5
511145.b4204	C3SFN7
511145.b1029	C3TET3
511145.b3484	A0A024L671
511145.b0647	C3TJC8
511145.b2847	C3SW97
511145.b0281	A0A090HPB5
511145.b3216	A0A024L9A9
511145.b1551	A0A0B0UDY6
511145.b4677	A0A090HV39
511145.b1513	A0A024L218
511145.b1370	U6C9B3
511145.b2041	J3RS99
511145.b2041	B7SFY2
511145.b4047	A0A024L7X3
511145.b4669	A0A090H4R7
511145.b2647	A0A024LBQ1
511145.b1547	A0A090H0F8
511145.b1001	A0A024L3J2
511145.b1029	A0A024L543
511145.b2271	A0A024L1F6
511145.b3618	A0A024LCM2
511145.b2851	A0A024L9B2
511145.b3622	A0A024LCL6
511145.b2270	A0A024L0M4
511145.b1400	A0A024L3V5
511145.b4670	A0A090I0D4
511145.b4048	A0A024L819
511145.b1994	A0A024KZI0
511145.b1372	A0A090H027
511145.b0267	A0A090GWT9
511145.b4683	A0A024LB49
511145.b4003	A0A024L9Y9
511145.b4586	A0A0B1KGL5
511145.b0717	A0A024L619
511145.b2004	A0A0A6RP18
511145.b4298	A0A024L916
511145.b1559	A0A024L2J1
511145.b2275	A0A024L0L6
511145.b2041	Q2VJ30
511145.b0566	W8ST21
511145.b1287	A0A0A0G1F7
511145.b4066	A0A024L7Z0
511145.b2215	A1ED42
511145.b3631	O68209
511145.b1229	A0A090H042
511145.b3214	A0A0A0GD48
511145.b2163	A0A0A0G735
511145.b1565	A0A090H0S8
511145.b2851	C3SW82
511145.b2041	A0FKJ3
511145.b2335	A0A0A6VN64
511145.b0646	C3TJD3
511145.b3505	A0A090HL60
511145.b2362	A0A0A0H0Q3
511145.b3645	A0A0A6RPU4
511145.b3593	C5IBJ5
511145.b2041	D7PDW9
511145.b4543	A0A0A0G513
511145.b1387	A0A0A6RVM1
511145.b4048	W8SXX7
511145.b0646	A0A024L667
511145.b1547	A0A0A0G4H9
511145.b1001	A0A0A0H068
511145.b1514	A0A024L2W6
511145.b1546	A0A0A0G2Y3
511145.b1397	A0A024L308
511145.b3628	A0A090HU07
511145.b1994	M9XB14
511145.b1931	A0A0A0H5R7
511145.b1154	A0A0A0G2D1
511145.b2345	A0A0B0V9L2
511145.b3632	O68210
511145.b2362	A0A0B1K2A6
511145.b2041	B5L364
511145.b2363	A0A0A3T2S8
511145.b1370	A0A090GYQ4
511145.b1147	A0A0A0H2M0
511145.b1392	A0A024L314
511145.b0648	A0A0A0H356
511145.b0260	B1VCK2
511145.b1153	A0A061KQR5
511145.b0646	A0A0A0H114
511145.b2847	J7R526
511145.b1158	A0A0A0GW38
511145.b3624	A0A024LBI3
511145.b2620	C3UPD1
511145.b0830	D9IX93
511145.b2011	Q2A0L1
511145.b1297	Q5H777
511145.b1299	Q5H775
511145.b1735	A4UR83
511145.b1735	A4UR75
511145.b1735	A4UR80
511145.b3374	Q6IFZ3
511145.b1735	A4UR81
511145.b0587	Q1PI54
511145.b2215	Q1PI90
511145.b1136	Q1PI72
511145.b1735	A4UR86
511145.b0578	F2X7N5
511145.b1735	A4UR78
511145.b0342	B8LFD8
511145.b1296	Q5H778
511145.b2011	Q2A0K9
511145.b1735	A4UR76
511145.b0345	B8LFD5
511145.b0343	B8LFD7
511145.b1735	A4UR77
511145.b2011	Q2A0L0
511145.b1735	A4UR84
511145.b0383	B8YM76
511145.b4401	A5PFJ8
511145.b4401	A5PFK0
511145.b3723	Q9F5L1
511145.b2435	Q1PH25
511145.b1302	Q5H772
511145.b1298	Q5H776
511145.b0344	B8LFD6
511145.b3236	Q1PI59
511145.b1735	A4UR79
511145.b0474	Q1PI83
511145.b1546	A0A094VJ19
511145.b0647	A0A066RHM8
511145.b2040	A0A0B1AYB9
511145.b1370	A0A0A8J554
511145.b0246	A0A090JFF5
511145.b2040	A0A0A8J3T4
511145.b2041	A0A0A8J4Y3
511145.b2041	A0A0B4N3F4
511145.b2041	A0A0B4N3M1
511145.b1546	A0A0C2F4N5
511145.b2647	A0A0B1KZ58
511145.b2029	O66227
511145.b2631	A0A090J5J3
511145.b2354	A0A090J6B5
511145.b4340	A0A094VJE8
511145.b1370	A0A075MAV6
511145.b2041	A0A0A8J760
511145.b1388	A0A093F4U0
511145.b1513	A0A0B1N5P7
511145.b0648	A0A066QT78
511145.b2734	A0A0B1GAE7
511145.b2716	A0A0B1GBR9
511145.b1547	A0A0B1MC05
511145.b4340	A0A0B1K6A1
511145.b2363	A0A0B1MH78
511145.b1994	A0A074MR58
511145.b2354	A0A086D8T6
511145.b0700	A0A0A1ABL1
511145.b0164	A0A0A1A005
511145.b0142	A0A0C2DA97
511145.b4466	A0A0C2ERJ5
511145.b2847	A0A0C2B963
511145.b4340	A0A0C2BF72
511145.b2849	A0A0C2EGD8
511145.b0647	A0A0C2ENT9
511145.b2349	A0A0C2BAM5
511145.b1387	A0A0C2EQN4
511145.b2484	A0A0D0LYA2
511145.b1370	A0A0D0LK41
511145.b1513	A0A0D0N2W9
511145.b4066	A0A085PAQ4
511145.b1387	A0A0A7XSZ0
511145.b1372	A0A0B1LZX4
511145.b2361	A0A0B1MHD0
511145.b2000	Q9L6T7
511145.b1546	A0A0B1IY03
511145.b2851	A0A0B1NAI6
511145.b2349	A0A085P1Z3
511145.b2349	A0A0B0VXS4
511145.b1546	A0A0B0W590
511145.b2363	A0A0C2EFG8
511145.b2647	A0A094Y311
511145.b1393	A0A0A8KFW7
511145.b3505	A0A0B1G703
511145.b1556	A0A0B1FIG0
511145.b2968	Q5K5K9
511145.b1943	A0A0A0G5T2
511145.b4340	A0A0A8KQH7
511145.b3807	A0A0A5M5H9
511145.b0566	A0A066RGF1
511145.b2106	A0A0A1A5X2
511145.b1513	A0A0C2B501
511145.b2041	A0A0B5CLC4
511145.b2271	A0A085P267
511145.b1387	A0A0B1BKG7
511145.b0555	A0A0C2EL08
511145.b0566	A0A0A1A263
511145.b2758	A0A0A1A8C4
511145.b1372	A0A0D0N4T6
511145.b4683	A0A090J936
511145.b1547	A0A0A8KCP5
511145.b0646	A0A0B1GA01
511145.b2849	A0A023L1I7
511145.b1514	A0A0A0GWG5
511145.b2233	A0A0B1MW28
511145.b4256	J7QJV4
511145.b2716	A0A085P0S4
511145.b2755	A0A0A1ABH4
511145.b1392	A0A0D0N6Q2
511145.b1393	A0A0C2EFQ7
511145.b2034	A0A0A8J2Q6
511145.b1512	A0A085NXE5
511145.b4272	A0A069FQE9
511145.b1158	A0A090JIF9
511145.b1158	A0A0A1A175
511145.b2082	A0A0C5F7Q9
511145.b4249	A0A0C2AX38
511145.b2647	A0A0C2E9J9
511145.b0700	A0A0B0VC05
511145.b1392	A0A066RBP6
511145.b1546	A0A0C2DX78
511145.b3593	A0A0B1G680
511145.b4256	A0A0C2EMH4
511145.b0646	A0A0C2A113
511145.b2029	A0A0B0Z4G2
511145.b2350	A0A0B1GE19
511145.b2635	A0A090JKR9
511145.b2041	I7H8T1
511145.b1372	A0A0B1M0V3
511145.b1395	J7QE37
511145.b4586	A0A093DMM4
511145.b1394	A0A093GJ44
511145.b2647	A0A0B1G2G8
511145.b1512	A0A0B1N1T2
511145.b1571	A0A0B1NDB8
511145.b2968	Q8VPC0
511145.b2361	A0A0B1FG40
511145.b2349	A0A0C5ED32
511145.b2757	A0A0A1ADM1
511145.b0648	A0A0A1A5G1
511145.b1546	A0A0C2EX04
511145.b1139	A0A094Y1G9
511145.b1571	A0A093D7D6
511145.b2041	A0A0A8J563
511145.b4204	A0A066R1X6
511145.b2716	A0A0D0N9I8
511145.b0647	A0A0B1G8C9
511145.b2000	A0A085P5U3
511145.b0648	A0A0C2DVQ9
511145.b2851	A0A090L0G3
511145.b1571	A0A0B0VS76
511145.b1155	A0A090JJH5
511145.b2041	Q8GMK3
511145.b2849	A0A085P0E3
511145.b2349	A0A0C2DMQ9
511145.b4466	A0A0C2EHA6
511145.b1932	A0A0A7RLU8
511145.b1932	A0A0B1FHF3
511145.b1960	A0A0D0MCQ2
511145.b2716	A0A0C1ZYX1
511145.b0700	A0A0C2AM29
511145.b4158	W8TWW0
511145.b2041	A0A0A8J8H4
511145.b1138	A0A090J6Q9
511145.b1560	A0A090JIL7
511145.b1931	A0A0B1ESW4
511145.b1370	U6C8Z8
511145.b1396	A0A090J791
511145.b3301	A0A0A5P0M3
511145.b1511	A0A0B1F7Z3
511145.b2004	A0A085P5T4
511145.b0217	A0A0A1A644
511145.b0252	A0A090JRX6
511145.b2716	A0A0A8KJ51
511145.b1159	A0A090JJP0
511145.b2647	A0A0B0VP08
511145.b2847	A0A085P0E5
511145.b1994	U6C9A9
511145.b1146	A0A0A1AHT1
511145.b1931	A0A0C2DMT6
511145.b0648	A0A085P4S3
511145.b1399	A0A0A1AH55
511145.b2445	A0A090JER8
511145.b0250	A0A090JRJ0
511145.b4048	A0A0C2A9A0
511145.b2430	A0A0A8KIG8
511145.b2041	A0A0A8J2R3
511145.b1029	A0A085NYN3
511145.b0566	A0A0C2AIY3
511145.b1392	A0A090L4I5
511145.b2851	A0A085P0E1
511145.b4204	A0A0D0LSH9
511145.b0648	A0A0C2EJ31
511145.b1395	A0A0A8KHD1
511145.b4349	A0A0A5M9P1
511145.b1360	A0A0B1MTJ0
511145.b1156	A0A094VVM4
511145.b1957	A0A085NVX7
511145.b4423	A0A0A1A4L2
511145.b0228	A0A085P5X0
511145.b0260	A0A0A0GBF5
511145.b2759	W8TA80
511145.b2847	A0A0C2DNF8
511145.b2041	A0A0A8J7Y0
511145.b2761	A0A0A1A7P4
511145.b1400	A0A0A1A9T1
511145.b1511	A0A0C2DM11
511145.b1372	A0A0C2EJR3
511145.b0281	A0A090JI72
511145.b2430	A0A0B1FV90
511145.b1513	A0A0A1A5D8
511145.b2754	A0A0A1A8W5
511145.b0644	A0A0D0NBG7
511145.b3216	A0A0A0GB16
511145.b2643	A0A090JQC6
511145.b1514	A0A0C2ENE9
511145.b4340	A0A086TQA7
511145.b1547	A0A0C2B188
511145.b2716	A0A0C2EMB2
511145.b1392	J7Q7B6
511145.b0364	A0A0A1A0G3
511145.b1514	A0A086TXK7
511145.b2004	A0A066QII6
511145.b1994	B7JCE1
511145.b2450	A0A090JER4
511145.b2000	F2VIA0
511145.b1393	A0A066RCQ9
511145.b2852	A0A0B1GA47
511145.b4298	J7RCN4
511145.b1148	A0A0A1ADA3
511145.b4543	A0A067HGC6
511145.b2082	A0A0C2EYX2
511145.b2233	A0A085P2A9
511145.b1546	A0A0B1MV59
511145.b2647	A0A0C2EZD0
511145.b2847	A0A0D0NCS8
511145.b1370	A0A090JIH4
511145.b1546	A0A0A8KFN5
511145.b1546	A0A066QER3
511145.b2349	A0A0C2EBQ3
511145.b1409	A0A0A8KEU0
511145.b2215	A0A0B1GIM8
511145.b1140	A0A090J0W2
511145.b0646	A0A086TYG5
511145.b1994	A0A0A7RS85
511145.b2430	A0A085P1L3
511145.b2041	A0A0A8J2M6
511145.b2349	A0A0A8KJ75
511145.b2233	A0A0A8KKA3
511145.b2275	A0A086VSF3
511145.b1511	A0A0A1AA62
511145.b2444	A0A090JFY3
511145.b3632	A0A090KXD6
511145.b3505	A0A094VGY2
511145.b2443	A0A090JJY2
511145.b2623	A0A090J4I7
511145.b0646	A0A0B1KIV7
511145.b2029	A0A0A7Y2D4
511145.b0603	A0A066Q018
511145.b2716	A0A093DLQ5
511145.b0647	A0A0B1MVX0
511145.b2112	A0A0A8KHG5
511145.b2335	A0A090J4B3
511145.b2000	A0A0B0UN39
511145.b2362	W8SRP1
511145.b2852	A0A085P0E0
511145.b1154	A0A0A1A1N1
511145.b1573	A0A061K2I6
511145.b1147	A0A094WM44
511145.b1514	A0A0B1FD02
511145.b1587	A0A0A0GGW4
511145.b2361	A0A0B0UK20
511145.b1554	A0A061KVR9
511145.b4703	A0A0A1AFY4
511145.b1146	A0A094VR05
511145.b1372	A0A0D0LIS1
511145.b2000	A0A0A8KDL5
511145.b2629	A0A090L2Q7
511145.b2004	A0A090JDP7
511145.b1148	W8STS1
511145.b2041	A0A0A8J6F9
511145.b1923	A2N6C0
511145.b1512	A0A0B1FCK7
511145.b0566	A0A0B1N9S6
511145.b0647	A0A0A1A2S1
511145.b1150	A0A0B1MHG0
511145.b0646	A0A085P4S5
511145.b1923	Q2HPP8
511145.b4340	A0A085P6S6
511145.b4466	A0A0D0MJB2
511145.b2637	A0A090JJD7
511145.b0268	A0A090LEF1
511145.b2000	A0A0B0UTZ9
511145.b2448	A0A090JJY0
511145.b2716	A0A090KZ78
511145.b1931	A0A0B1MNL5
511145.b4466	A0A0B0VVY7
511145.b1372	A0A0B1M0K6
511145.b1372	A0A0C2B783
511145.b2852	A0A0D0NCS2
511145.b3645	A0A0D0NF54
511145.b2442	A0A090LDS5
511145.b1513	A0A0B1ISR0
511145.b2335	A0A094VW41
511145.b2634	A0A090JJD3
511145.b2632	A0A090J4H7
511145.b1399	A0A0A8KET6
511145.b3645	A0A090J078
511145.b1153	A0A094VTD4
511145.b3627	A0A0B1FPV7
511145.b2760	A0A0A1ABI0
511145.b1360	A0A0B1N035
511145.b2071	A0A0C2ACQ5
511145.b1372	A0A0B1M1E9
511145.b1372	A0A0B1LZL5
511145.b4466	A0A0B1N4F6
511145.b3593	A0A085P4N8
511145.b1943	A0A085NVZ0
511145.b3627	A0A0C2DRW4
511145.b2270	A0A090J9L2
511145.b1923	Q2A873
511145.b1387	A0A066QC17
511145.b2852	A0A0C2B966
511145.b4553	A0A0B1FWQ7
511145.b0267	A0A090JGK8
511145.b1561	A0A0B1MTG9
511145.b3618	A0A0B1N5S0
511145.b1145	A0A0A1ABY5
511145.b3618	A0A0C2ELC1
511145.b1395	A0A0C2AV47
511145.b0603	A0A0C2EU37
511145.b1923	A0A085NW07
511145.b2082	A0A023LBN3
511145.b1372	A0A0B0VFF5
511145.b4204	A0A093DKF5
511145.b2000	A0A090JBJ1
511145.b1513	A0A0C2AFM4
511145.b0647	A0A0C2AIT5
511145.b2734	A0A085P0Q5
511145.b2000	Q9L6T6
511145.b4299	J7QZF6
511145.b2754	A0A090KZ37
511145.b1547	A0A0B1FNL2
511145.b1150	A0A061KN49
511145.b1147	A0A061YCS2
511145.b2041	A0A0A8J3L2
511145.b4340	A0A0B1GCZ2
511145.b2000	A0A0B1N837
511145.b1555	A0A0A1A452
511145.b2040	A0A0A8J6Y5
511145.b2244	A0A090JKD5
511145.b0646	A0A0C2AYA5
511145.b1145	A0A0A7Y093
511145.b1145	A0A090J4M9
511145.b1153	A0A0B1MDN9
511145.b1372	A0A0B0UCJ9
511145.b2000	Q9L6T8
511145.b1372	A0A0B0V453
511145.b1932	A0A0A1AB88
511145.b0646	A0A0A1A2B4
511145.b1923	Q9S0T4
511145.b4215	A0A085P727
511145.b0136	A0A090LCI9
511145.b1153	A0A0A1A169
511145.b2376	A0A0B0XD75
511145.b4340	Q6TMI6
511145.b4204	A0A074PWX4
511145.b1393	A0A0D0LPP4
511145.b2362	A0A0A1A138
511145.b2647	A0A0A0GN82
511145.b1399	A0A0D0MER1
511145.b4066	A0A066QCT2
511145.b1513	A0A0B1FBG3
511145.b3618	A0A0A7Y661
511145.b1370	A0A0A8J4J3
511145.b2000	A0A0C2B9Z3
511145.b1160	A0A0C2AAA4
511145.b1513	A0A085NXE4
511145.b1511	A0A085NXE6
511145.b4204	A0A085P739
511145.b2634	A0A0A0GFH2
511145.b3459	A0A085P8W4
511145.b2000	A0A0D0LJV6
511145.b1514	A0A066QBQ8
511145.b0277	A0A090JJF6
511145.b2633	A0A090LJB5
511145.b0700	A0A0A7XYX5
511145.b1571	A0A0B1KIZ6
511145.b1145	A0A0B1MI61
511145.b2716	A0A0A1ADP1
511145.b2848	A0A085P0E4
511145.b4215	A0A074PSA2
511145.b2847	A0A0A1ADX0
511145.b0273	A0A090JFD7
511145.b3618	A0A066RBM2
511145.b2362	A0A090IZF1
511145.b3488	A0A0A1AG08
511145.b1514	A0A0A1A839
511145.b2041	A0A0A8J6R4
511145.b1399	A0A066QKE0
511145.b1400	J7QE40
511145.b2041	A0A0B1AYG8
511145.b1146	A0A0B1ME65
511145.b0250	A0A0A0GDF4
511145.b3593	C5IBK7
511145.b3593	C5IBJ8
511145.b1511	A0A0A0GJE0
511145.b2362	A0A0A8KHQ4
511145.b2041	B5L3K3
511145.b2041	Q5GFN1
511145.b2215	Q1PGT4
511145.b3362	C3SQH2
511145.b2041	E2DNK3
511145.b2852	C3SCB5
511145.b1154	A0A0B1MWA9
511145.b2354	J7QFR0
511145.b2852	J7Q9F2
511145.b4011	A0A0A0G6R6
511145.b4224	J7RCD6
511145.b0646	C3TJD2
511145.b0603	J7QCU9
511145.b2041	D7PFB6
511145.b1370	V9SGD7
511145.b2430	A0A0A0HD16
511145.b3593	C5IBK3
511145.b1513	A0A0A0GHD1
511145.b1121	A0A0A8KE02
511145.b1553	A0A0A0GH81
511145.b2215	Q1PGT1
511145.b2847	A0A0A0GK25
511145.b2215	Q1PGS9
511145.b1547	A0A0A0GXC1
511145.b1154	A0A0B1MCN5
511145.b1148	A0A0B1FWN1
511145.b0644	J7QYG9
511145.b0274	G2I9K1
511145.b2215	C6K7M5
511145.b1546	A0A0A0G3P2
511145.b2448	A0A090HTM1
511145.b1154	A0A0A6T2L2
511145.b1923	Q842B0
511145.b2215	Q1PGS4
511145.b2215	Q1PGT7
511145.b3593	C5IBK9
511145.b3129	A0A0B1LVL1
511145.b2041	Q6QND0
511145.b1560	A0A0A0H530
511145.b2040	A0A090JDV5
511145.b2215	Q1PGS7
511145.b2430	C3T0W5
511145.b2636	A0A0A0GCW4
511145.b1029	C3TET2
511145.b1029	C3TET5
511145.b1158	J7QXH7
511145.b0253	A0A0A0GDE9
511145.b2215	Q1PGT2
511145.b2215	Q1PGS5
511145.b0717	A0A0A0GDD7
511145.b0278	A0A0A0GFM0
511145.b1514	A0A0C2EX28
511145.b1145	J7QGT3
511145.b3645	A0A0A0GL61
511145.b0273	Q47058
511145.b1513	A0A0A0G4K4
511145.b0246	A0A0A0GCW9
511145.b2716	C3SXU5
511145.b1513	A0A0A0H2G4
511145.b2041	Q2VJ41
511145.b1130	Q9R605
511145.b2041	Q3IA89
511145.b1546	J7R7S8
511145.b2852	J7QH57
511145.b2041	E2DNN8
511145.b2215	Q1PGT0
511145.b1513	J7R4H4
511145.b2040	D2X3C9
511145.b1399	J7QQP6
511145.b2362	J7R332
511145.b0603	C3TJY7
511145.b2848	J7Q9F1
511145.b3645	J7R7N7
511145.b1560	A0A090GZ43
511145.b0252	A0A0A5LYS7
511145.b2215	Q1PGS3
511145.b2848	A0A0B1NFI8
511145.b1158	J7R6F3
511145.b2848	A0A0B1GBA1
511145.b2848	A0A0A0GKW2
511145.b3593	C5IBK6
511145.b2040	D7P6C1
511145.b2215	Q1PGS8
511145.b3505	B1VCK3
511145.b2430	J7QG58
511145.b2041	B8QSK3
511145.b1153	J7Q678
511145.b3645	A0A0C2AJP1
511145.b2349	C3T1M0
511145.b0648	C3TJC5
511145.b1156	A0A0A0GC93
511145.b1147	A0A0A0GB50
511145.b2041	B5L3F4
511145.b2041	A6M9A9
511145.b0252	A0A0A0GBC2
511145.b1511	J7R0Z4
511145.b0247	A0A0A5M0D8
511145.b2363	A0A0C2DT77
511145.b1182	D4P3M1
511145.b2442	A0A090H0Z0
511145.b4066	C3SHB7
511145.b1153	A0A0A0G181
511145.b1370	A0A0A2R7T1
511145.b2041	E6ZDL5
511145.b4066	C3SHC0
511145.b1546	A0A090HKZ1
511145.b2450	A0A090H136
511145.b1391	J7R0L9
511145.b2041	D2X3C8
511145.b2041	A6M9D0
511145.b2071	J7R602
511145.b1268	C3TC92
511145.b0245	A0A0A0GDF9
511145.b2041	Q1AL89
511145.b3220	A0A0A0GK26
511145.b3628	A0A0A0GMM1
511145.b0262	Q47303
511145.b1370	V9SFS4
511145.b1153	A0A0A6T420
511145.b1154	A0A0A0GBG3
511145.b2040	B5L3C4
511145.b1259	A0A0A5MBZ1
511145.b2215	Q1PGT6
511145.b2215	Q1PGT8
511145.b3626	A0A0A0GL82
511145.b4466	A0A0A0H7Q8
511145.b4295	J7QJY8
511145.b4296	Q6KCW0
511145.b0647	A0A0A0FNK1
511145.b0364	A0A0A0GC43
511145.b2041	D6BV39
511145.b0700	Q47284
511145.b2445	A0A090H2Q7
511145.b2215	Q1PGS6
511145.b1372	A0A0B1LZS5
511145.b2041	Q0H8D6
511145.b2849	J7QVC1
511145.b1121	J7QQ07
511145.b1372	A0A0A0G6E8
511145.b1259	A0A0A5Q4I2
511145.b2349	F1D7A9
511145.b2040	Q3IA88
511145.b3593	C5IBJ2
511145.b2041	B5L3C3
511145.b2215	Q1PGT5
511145.b1153	A0A0A0GB58
511145.b2215	Q1PIA1
511145.b2362	J7R4I8
511145.b2362	A0A0B0TA23
511145.b1001	A0A0A0GUX8
511145.b4296	A0A0A0GS26
511145.b0646	A0A099B6U9
511145.b4340	J7RCT4
511145.b1372	J7QUN6
511145.b4048	J7R8Y7
511145.b1148	J7R0U8
511145.b1147	A0A0A0H5B4
511145.b1370	A0A0A6T0Q4
511145.b2215	C9E709
511145.b1154	J7R0X4
511145.b2444	A0A090HTL3
511145.b2040	E2DNN9
511145.b2430	A0A0A1A7I8
511145.b2082	J7QP83
511145.b4215	A0A0B1FSP5
511145.b1370	G2I9J4
511145.b1154	A0A0C1ZVF9
511145.b2362	A0A0A7XQ14
511145.b2041	J7F957
511145.b3645	A0A0B1FPB0
511145.b2443	A0A090H2G1
511145.b1148	A0A0B1MGE0
511145.b2041	D7P6C0
511145.b3593	C5IBJ9
511145.b3215	A0A0A0GM28
511145.b2215	K7DXB4
511145.b2215	Q1PGT9
511145.b2626	A2V704
511145.b4320	T1SR87
511145.b0228	Q5DY38
511145.b2362	A0A0A6RB30
511145.b2422	A0A0A5NRB8
511145.b4215	C3SBY0
511145.b2041	B5L3E4
511145.b2849	A0A0B1GA50
511145.b2127	V9PPD8
511145.b0344	G0ZKW2
511145.b4112	G1E6H3
511145.b4320	V5N4F1
511145.b3505	G0ZKW3
511145.b1553	E2QMB9
511145.b1551	E2QMB7
511145.b1555	E2QMC1
511145.b1550	E2QMB6
511145.b1554	E2QMC0
511145.b1571	E2QMD6
511145.b2716	E2QQG4
511145.b1559	E2QMC4
